epoch,accuracy,class2_precision,class2_recall,f1,learning_rate,loss,val_accuracy,val_class2_precision,val_class2_recall,val_f1,val_loss
0,0.63347327709198,0.023039275780320168,0.038614243268966675,0.27605900168418884,9.999999747378752e-05,0.9272890686988831,0.7019107341766357,0.0,0.0,0.2346659004688263,0.957348644733429
1,0.5259759426116943,0.025519954040646553,0.025407372042536736,0.27406007051467896,9.999999747378752e-05,0.9242939352989197,0.3077601492404938,0.0,0.0,0.23440292477607727,0.9570704102516174
2,0.414178729057312,0.029611650854349136,0.017659708857536316,0.2701420485973358,9.999999747378752e-05,0.9232804179191589,0.15302477777004242,0.0,0.0,0.23201915621757507,0.956964910030365
3,0.39261379837989807,0.04020192474126816,0.021188894286751747,0.27344387769699097,9.999999747378752e-05,0.9207385778427124,0.1987866908311844,0.003733333433046937,0.0040863980539143085,0.22346147894859314,0.9576722979545593
4,0.37314048409461975,0.0354808047413826,0.02521437034010887,0.27124568819999695,9.999999747378752e-05,0.9219868779182434,0.18360981345176697,0.004265545401722193,0.020723875612020493,0.217737078666687,0.9579723477363586
5,0.36961519718170166,0.041836611926555634,0.03351346775889397,0.27074959874153137,9.999999747378752e-05,0.9203917980194092,0.19284699857234955,0.004105967935174704,0.021307647228240967,0.21640336513519287,0.9577358365058899
6,0.35834941267967224,0.05481458082795143,0.03818688169121742,0.2722645103931427,9.999999747378752e-05,0.9200026988983154,0.1822766810655594,0.0039667547680437565,0.03677758201956749,0.21184083819389343,0.9581300616264343
7,0.34337282180786133,0.0801609605550766,0.06261545419692993,0.2689681947231293,9.999999747378752e-05,0.9190955758094788,0.16928742825984955,0.003267016727477312,0.042323410511016846,0.20737698674201965,0.9584062695503235
8,0.32900211215019226,0.08818895369768143,0.08565165847539902,0.2611398994922638,9.999999747378752e-05,0.9195720553398132,0.1690191924571991,0.003306076629087329,0.04378283768892288,0.2057996243238449,0.958391010761261
9,0.36371365189552307,0.040849778801202774,0.077642060816288,0.2733564078807831,4.999999873689376e-05,0.918651819229126,0.17172563076019287,0.0032776854932308197,0.04378283768892288,0.20604118704795837,0.9581441283226013
10,0.35845500230789185,0.05341419205069542,0.10236014425754547,0.26549097895622253,4.999999873689376e-05,0.9205127954483032,0.17596435546875,0.0035185832530260086,0.04407472163438797,0.20889616012573242,0.9574496746063232
11,0.356744647026062,0.06329026073217392,0.1008850559592247,0.266852468252182,4.999999873689376e-05,0.9166797399520874,0.173736572265625,0.003192271338775754,0.044366609305143356,0.20916800200939178,0.9572932720184326
12,0.34249261021614075,0.07534246891736984,0.09295817464590073,0.276909738779068,4.999999873689376e-05,0.9152584075927734,0.1732225865125656,0.0030574968550354242,0.04495038092136383,0.20866744220256805,0.9573685526847839
