epoch,accuracy,class2_precision,class2_recall,f1,learning_rate,loss,val_accuracy,val_class2_precision,val_class2_recall,val_f1,val_loss
0,0.2618151009082794,0.03379540517926216,0.4150100648403168,0.2525276243686676,9.999999747378752e-05,-11.285111427307129,0.20144492387771606,0.0018179666949436069,0.04932866245508194,0.20071646571159363,-1.0999529361724854
1,0.29833468794822693,0.042448222637176514,0.4701811373233795,0.2608838975429535,9.999999747378752e-05,-12.706768989562988,0.1616259068250656,0.0018430663039907813,0.04728546366095543,0.20264942944049835,-1.07435941696167
2,0.31447267532348633,0.046618930995464325,0.46564558148384094,0.264084130525589,9.999999747378752e-05,-13.839261054992676,0.16669504344463348,0.001974483486264944,0.045534148812294006,0.20915508270263672,-1.1273193359375
3,0.32588624954223633,0.04871957376599312,0.43377265334129333,0.26201367378234863,9.999999747378752e-05,-13.322027206420898,0.19072361290454865,0.003399498062208295,0.043490950018167496,0.22202856838703156,-1.2604222297668457
4,0.33696892857551575,0.05553033947944641,0.4570983350276947,0.2660953402519226,9.999999747378752e-05,-14.683246612548828,0.23089760541915894,0.005978888366371393,0.042323410511016846,0.23522281646728516,-1.384825348854065
5,0.34917354583740234,0.05939235910773277,0.4411343038082123,0.2710522413253784,9.999999747378752e-05,-14.610311508178711,0.25882279872894287,0.007021554745733738,0.03765324130654335,0.2434079647064209,-1.4264661073684692
6,0.33236798644065857,0.0627659261226654,0.4138520359992981,0.2611871361732483,9.999999747378752e-05,-14.729964256286621,0.29284828901290894,0.0004987530992366374,0.0005837711505591869,0.2508133053779602,-1.4838494062423706
7,0.33273521065711975,0.06471008062362671,0.4310154616832733,0.271825909614563,9.999999747378752e-05,-15.061369895935059,0.30922016501426697,0.0,0.0,0.2540103793144226,-1.5124295949935913
8,0.346657395362854,0.07581354677677155,0.4620061218738556,0.2684655487537384,9.999999747378752e-05,-17.79472541809082,0.3103380799293518,0.004580432549118996,0.00729713961482048,0.25470519065856934,-1.5435622930526733
9,0.37101489305496216,0.08505039662122726,0.41887012124061584,0.27471503615379333,9.999999747378752e-05,-17.74100112915039,0.3156256377696991,0.0,0.0,0.256269633769989,-1.6046923398971558
10,0.382135272026062,0.08590622991323471,0.4352477192878723,0.2856030762195587,9.999999747378752e-05,-19.191030502319336,0.33364707231521606,0.0,0.0,0.2576533854007721,-1.740131139755249
11,0.37302836775779724,0.0996064767241478,0.4323389232158661,0.28512242436408997,9.999999747378752e-05,-19.70904541015625,0.3254474699497223,0.0,0.0,0.2556835412979126,-1.819704532623291
12,0.3908417224884033,0.10906549543142319,0.4184703230857849,0.28965815901756287,9.999999747378752e-05,-20.21407127380371,0.32555830478668213,0.0,0.0,0.25525620579719543,-1.971740961074829
