epoch,accuracy,class2_precision,class2_recall,f1,loss,val_accuracy,val_class2_precision,val_class2_recall,val_f1,val_loss
0,0.26836130023002625,0.036084890365600586,0.027613112702965736,0.21875588595867157,1.3283352851867676,0.3722454011440277,0.0,0.0,0.24963884055614471,1.2925050258636475
1,0.30555400252342224,0.04676898196339607,0.0337340421974659,0.24283407628536224,1.1336183547973633,0.21796296536922455,0.0,0.0,0.24328866600990295,1.3180413246154785
2,0.3397028148174286,0.055923134088516235,0.05359949171543121,0.25464317202568054,1.0589402914047241,0.218505859375,0.0,0.0,0.24383921921253204,1.2498421669006348
3,0.39847591519355774,0.06902342289686203,0.06516584753990173,0.2731529176235199,0.9745795726776123,0.23264352977275848,0.0,0.0,0.2505900263786316,1.1451886892318726
4,0.4470982849597931,0.07615690678358078,0.08875348418951035,0.27730587124824524,0.9376201629638672,0.25269198417663574,0.0,0.0,0.25748005509376526,1.0870105028152466
5,0.46153515577316284,0.11562932282686234,0.20744988322257996,0.28786972165107727,0.8507375121116638,0.25008833408355713,0.0,0.0,0.2641841769218445,1.0342650413513184
6,0.4796704947948456,0.11126147955656052,0.2448096126317978,0.2949899733066559,0.8065329790115356,0.2645215392112732,0.0,0.0,0.2670866549015045,1.0015839338302612
7,0.4739187955856323,0.12314196676015854,0.2919159531593323,0.2862091064453125,0.7782228589057922,0.27232441306114197,0.0,0.0,0.2691074013710022,0.9846091866493225
8,0.4931640625,0.11704790592193604,0.31462129950523376,0.300902396440506,0.7464556097984314,0.28532329201698303,0.0,0.0,0.27091819047927856,0.9707210659980774
9,0.5227081775665283,0.13575877249240875,0.31307727098464966,0.30155763030052185,0.7081697583198547,0.3085536062717438,0.0,0.0,0.27314239740371704,0.9507250785827637
10,0.5254842638969421,0.13279487192630768,0.3123328387737274,0.3044338524341583,0.6999138593673706,0.33463168144226074,0.0,0.0,0.27656546235084534,0.9405492544174194
11,0.5529459118843079,0.15610390901565552,0.32730430364608765,0.315757155418396,0.6593743562698364,0.3630547821521759,0.0,0.0,0.278540700674057,0.9282421469688416
12,0.536393404006958,0.13600769639015198,0.30408889055252075,0.3031333088874817,0.6859294772148132,0.42378637194633484,0.0,0.0,0.28688010573387146,0.9035704731941223
13,0.5699400901794434,0.17150996625423431,0.3568612337112427,0.3134496212005615,0.6007077097892761,0.4411396086215973,0.0,0.0,0.28594541549682617,0.898333728313446
14,0.5808232426643372,0.14753775298595428,0.3309989273548126,0.3206067979335785,0.6077951192855835,0.4612169861793518,0.0016792610986158252,0.005837711505591869,0.29586806893348694,0.8828349709510803
15,0.5933237671852112,0.18795032799243927,0.34701812267303467,0.3278144896030426,0.5621709823608398,0.4771680235862732,0.0023922144901007414,0.012842965312302113,0.29665738344192505,0.8807287812232971
16,0.5890176892280579,0.17006385326385498,0.3433372974395752,0.3382020592689514,0.5622779726982117,0.5101783871650696,0.0030097817070782185,0.01517804991453886,0.3016842007637024,0.8701920509338379
17,0.613311767578125,0.20063255727291107,0.3559238016605377,0.33912426233291626,0.5455499291419983,0.5064552426338196,0.00246410071849823,0.025394044816493988,0.30713069438934326,0.8833421468734741
18,0.623272180557251,0.21260322630405426,0.38934075832366943,0.34338924288749695,0.4920588731765747,0.5568639039993286,0.0029497500509023666,0.024810275062918663,0.31461337208747864,0.8578222990036011
19,0.6176798939704895,0.2079799920320511,0.3370922803878784,0.3389092683792114,0.5264057517051697,0.6068243980407715,0.003562274621799588,0.02393461763858795,0.3191335201263428,0.8381674289703369
20,0.6244071125984192,0.18364930152893066,0.31423529982566833,0.334455281496048,0.5492599606513977,0.6416577696800232,0.0045938496477901936,0.024810275062918663,0.3242110311985016,0.8215715885162354
21,0.6347443461418152,0.2430863082408905,0.38668009638786316,0.35447070002555847,0.44611307978630066,0.6310232281684875,0.003845204133540392,0.031815528869628906,0.32154959440231323,0.8369021415710449
22,0.626278281211853,0.21813127398490906,0.365573912858963,0.3485054671764374,0.475093811750412,0.6634135842323303,0.005304119549691677,0.031231757253408432,0.33227503299713135,0.808806300163269
23,0.6219667792320251,0.1970745027065277,0.3150072991847992,0.3477463722229004,0.4909602403640747,0.6420015096664429,0.0038555790670216084,0.03444249927997589,0.3289719223976135,0.8277794122695923
24,0.647308349609375,0.22759787738323212,0.31713032722473145,0.3584400713443756,0.4928421378135681,0.6784475445747375,0.007948460057377815,0.027729129418730736,0.33209648728370667,0.8004136085510254
25,0.6463654041290283,0.2631356120109558,0.3599768280982971,0.3609883189201355,0.4293942451477051,0.634033203125,0.0035896694753319025,0.043490950018167496,0.32685545086860657,0.848858654499054
26,0.629611611366272,0.26446425914764404,0.3745622932910919,0.35916346311569214,0.4271618723869324,0.6822477579116821,0.006611032877117395,0.03561004251241684,0.33734840154647827,0.794670581817627
27,0.6544172167778015,0.29694896936416626,0.3459014594554901,0.3636268675327301,0.4633338451385498,0.7034189105033875,0.011884549632668495,0.03269118443131447,0.3413759171962738,0.7761070132255554
28,0.6398017406463623,0.30082663893699646,0.3812898099422455,0.3646843135356903,0.36551979184150696,0.6551706194877625,0.0038738783914595842,0.04611792042851448,0.33858561515808105,0.8358170390129089
29,0.6445151567459106,0.28392937779426575,0.3847087025642395,0.3644337058067322,0.39487123489379883,0.6773247718811035,0.005495924036949873,0.043490950018167496,0.34443172812461853,0.7989413738250732
30,0.6565843224525452,0.3057110607624054,0.3621136546134949,0.3755243420600891,0.34325993061065674,0.6829769611358643,0.006120394449681044,0.044366609305143356,0.3453553020954132,0.793893039226532
31,0.6599642038345337,0.44269269704818726,0.37006810307502747,0.38330376148223877,0.3094041645526886,0.6016395688056946,0.003392192767933011,0.0753064826130867,0.32961195707321167,0.9454335570335388
32,0.625286340713501,0.24554695188999176,0.400989830493927,0.368976354598999,0.3422703742980957,0.69024658203125,0.0073558068834245205,0.04407472163438797,0.35193732380867004,0.7777650952339172
33,0.6453462839126587,0.37265148758888245,0.36476054787635803,0.37684279680252075,0.2998613715171814,0.6498750448226929,0.004517544060945511,0.06012842804193497,0.3435280919075012,0.8414745330810547
34,0.6422184109687805,0.3518282175064087,0.35324934124946594,0.3709356188774109,0.3588799834251404,0.6704744100570679,0.005084151402115822,0.059252772480249405,0.34355637431144714,0.8287975788116455
35,0.6557222604751587,0.3758806586265564,0.4001213014125824,0.3792669177055359,0.2510460913181305,0.6576441526412964,0.00469164177775383,0.05837711691856384,0.3418385684490204,0.845135509967804
36,0.6475871205329895,0.3138018250465393,0.3767542541027069,0.37459737062454224,0.28944507241249084,0.6380647420883179,0.003886111546307802,0.058085229247808456,0.340035617351532,0.8732026815414429
37,0.6536816954612732,0.40112727880477905,0.36203092336654663,0.37988683581352234,0.28874218463897705,0.6771191954612732,0.006137349642813206,0.050788089632987976,0.3477776348590851,0.8035928606987
38,0.6549665331840515,0.35910847783088684,0.3738316595554352,0.38437819480895996,0.29431062936782837,0.6774564981460571,0.006640496198087931,0.05283128842711449,0.34801530838012695,0.7987710237503052
39,0.6462453603744507,0.37478092312812805,0.3508230149745941,0.38568493723869324,0.2828276753425598,0.6385241150856018,0.004376131575554609,0.059252772480249405,0.3415984809398651,0.8575577735900879
40,0.6429848074913025,0.37029218673706055,0.37476909160614014,0.3851214349269867,0.25858044624328613,0.6716886758804321,0.006503824610263109,0.05137186124920845,0.34935012459754944,0.7998878359794617
41,0.6562314629554749,0.44464409351348877,0.371846467256546,0.38876399397850037,0.1928674727678299,0.6256505250930786,0.004098360426723957,0.06187974289059639,0.34240537881851196,0.8774603009223938
42,0.6456754803657532,0.35223034024238586,0.39700570702552795,0.38774850964546204,0.22261497378349304,0.6279746890068054,0.004400762729346752,0.061295971274375916,0.34390318393707275,0.864082932472229
43,0.6473906636238098,0.3852554261684418,0.379800945520401,0.38637682795524597,0.28596311807632446,0.6498541831970215,0.005252480506896973,0.055166374891996384,0.3487267792224884,0.8247684836387634
44,0.653043270111084,0.4186933636665344,0.391836017370224,0.39080968499183655,0.1634012758731842,0.6404691934585571,0.004576879553496838,0.05545825883746147,0.34716367721557617,0.8429943919181824
45,0.6523701548576355,0.39713039994239807,0.41514793038368225,0.3925575613975525,0.11837759613990784,0.6430631875991821,0.004798828158527613,0.05545825883746147,0.3478702902793884,0.8376777768135071
46,0.6491503715515137,0.44686368107795715,0.38479143381118774,0.39572376012802124,0.15916751325130463,0.6614283323287964,0.0063918293453752995,0.055166374891996384,0.35130253434181213,0.8051968216896057
47,0.6532688736915588,0.46110332012176514,0.3674625754356384,0.3930557072162628,0.16324159502983093,0.6334903240203857,0.004649103619158268,0.061295971274375916,0.34573453664779663,0.8556364178657532
48,0.6539885997772217,0.3662768006324768,0.38855496048927307,0.38533148169517517,0.20914630591869354,0.6453776955604553,0.004998461809009314,0.056917689740657806,0.34761282801628113,0.8375284075737
49,0.6690306663513184,0.41982993483543396,0.3709641695022583,0.38642099499702454,0.22172445058822632,0.6521285176277161,0.005345616955310106,0.054874490946531296,0.348697304725647,0.8254312872886658
50,0.6376544833183289,0.41976848244667053,0.3709504008293152,0.384431391954422,0.19969308376312256,0.6548124551773071,0.0056545427069067955,0.056042030453681946,0.34972241520881653,0.819710373878479
51,0.6548774242401123,0.40720435976982117,0.3389533758163452,0.3837973177433014,0.26627784967422485,0.6533363461494446,0.005385194905102253,0.05633391812443733,0.3494076728820801,0.8268676400184631
