epoch,accuracy,class2_precision,class2_recall,f1,learning_rate,loss,val_accuracy,val_class2_precision,val_class2_recall,val_f1,val_loss
0,0.6220593452453613,0.036655474454164505,0.046058617532253265,0.28534358739852905,9.999999747378752e-05,0.9235842227935791,0.6725688576698303,0.00042900044354610145,0.00029188557527959347,0.2413381040096283,0.9529826641082764
1,0.6141083240509033,0.05787433683872223,0.10333894193172455,0.30669501423835754,9.999999747378752e-05,0.9131717681884766,0.3433018624782562,0.0031417624559253454,0.011967308819293976,0.23391148447990417,0.9530384540557861
2,0.5945496559143066,0.0843697115778923,0.20219746232032776,0.3193790018558502,9.999999747378752e-05,0.9032993316650391,0.2975367605686188,0.0004932182491756976,0.0005837711505591869,0.23176276683807373,0.9519065022468567
3,0.6090091466903687,0.0893079861998558,0.2734704613685608,0.33983567357063293,9.999999747378752e-05,0.8904319405555725,0.2879205048084259,0.0,0.0,0.23079009354114532,0.9508944153785706
4,0.59565269947052,0.09957189857959747,0.34565332531929016,0.3448445200920105,9.999999747378752e-05,0.8802673816680908,0.26411840319633484,0.0,0.0,0.22591480612754822,0.9501696228981018
5,0.5967249274253845,0.10172206908464432,0.34747305512428284,0.35735246539115906,9.999999747378752e-05,0.879984974861145,0.24508024752140045,0.0,0.0,0.2196243703365326,0.9498515129089355
6,0.588437557220459,0.11160340905189514,0.37919434905052185,0.35236185789108276,9.999999747378752e-05,0.870641827583313,0.2350640594959259,0.0,0.0,0.2137904167175293,0.9495614767074585
7,0.6078964471817017,0.11994395405054092,0.37409359216690063,0.36137905716896057,9.999999747378752e-05,0.866743803024292,0.2289075404405594,0.0,0.0,0.20741133391857147,0.9495635628700256
8,0.6239195466041565,0.128651425242424,0.38323360681533813,0.3874547779560089,9.999999747378752e-05,0.8581429719924927,0.22277671098709106,0.0,0.0,0.1985468566417694,0.9499762654304504
9,0.6212185621261597,0.12029478698968887,0.35307011008262634,0.38169044256210327,9.999999747378752e-05,0.8677162528038025,0.22069509327411652,0.0,0.0,0.19431371986865997,0.9501144289970398
10,0.6322782635688782,0.14344726502895355,0.3825029730796814,0.38518404960632324,9.999999747378752e-05,0.8492918610572815,0.21933947503566742,0.004557640757411718,0.004962055012583733,0.18939338624477386,0.9502079486846924
11,0.6272631287574768,0.13483257591724396,0.35764703154563904,0.3796483874320984,9.999999747378752e-05,0.8593506813049316,0.21777182817459106,0.003808571258559823,0.028896672651171684,0.1804492473602295,0.9511164426803589
12,0.6322559714317322,0.15774495899677277,0.3858942985534668,0.3807934820652008,9.999999747378752e-05,0.8496949076652527,0.22025339305400848,0.004176091868430376,0.035026270896196365,0.18416869640350342,0.950354814529419
13,0.6506268978118896,0.19732806086540222,0.37425899505615234,0.3934475779533386,4.999999873689376e-05,0.8454316258430481,0.22471538186073303,0.004331072326749563,0.03969644010066986,0.18974336981773376,0.9496147036552429
14,0.65418541431427,0.16565902531147003,0.34714218974113464,0.41288694739341736,4.999999873689376e-05,0.8467203378677368,0.22703471779823303,0.0028309898916631937,0.04378283768892288,0.19200800359249115,0.9491928219795227
15,0.6446941494941711,0.1826753169298172,0.4019823968410492,0.40216848254203796,4.999999873689376e-05,0.8341800570487976,0.2495374232530594,0.0034618263598531485,0.04319906607270241,0.20499534904956818,0.9474800229072571
16,0.664420485496521,0.1948588341474533,0.3740108609199524,0.41258516907691956,4.999999873689376e-05,0.8347535133361816,0.2926378846168518,0.0036824685521423817,0.04611792042851448,0.22159016132354736,0.945218026638031
17,0.6572718024253845,0.18283291161060333,0.38884446024894714,0.40380191802978516,4.999999873689376e-05,0.8379301428794861,0.3474330008029938,0.0033275820314884186,0.04728546366095543,0.24105560779571533,0.9425257444381714
18,0.6737509965896606,0.2092476487159729,0.37663018703460693,0.41541171073913574,4.999999873689376e-05,0.8314849138259888,0.4378533661365509,0.0037537876050919294,0.04845300689339638,0.2759571075439453,0.9375371336936951
19,0.6536182761192322,0.1882849484682083,0.3567233681678772,0.40258726477622986,4.999999873689376e-05,0.8420717120170593,0.5144235491752625,0.004896837752312422,0.0478692352771759,0.3064906597137451,0.9326119422912598
20,0.6670775413513184,0.19481608271598816,0.37498965859413147,0.4127933382987976,4.999999873689376e-05,0.8369264006614685,0.5203102231025696,0.0044652181677520275,0.049912434071302414,0.31296923756599426,0.9312545657157898
21,0.6640642285346985,0.208872452378273,0.4128181040287018,0.4208705425262451,4.999999873689376e-05,0.8202143311500549,0.5953449606895447,0.006332599092274904,0.04699357971549034,0.34711599349975586,0.9252507090568542
22,0.6754387021064758,0.19156843423843384,0.35888776183128357,0.4279418885707855,4.999999873689376e-05,0.8357352614402771,0.6227930784225464,0.008103562518954277,0.04640980809926987,0.3624792993068695,0.9221063852310181
23,0.6707732677459717,0.19415387511253357,0.3981361389160156,0.4248945713043213,4.999999873689376e-05,0.8226339817047119,0.6096898317337036,0.005438805557787418,0.04932866245508194,0.360739529132843,0.9226298332214355
24,0.6636757254600525,0.19306416809558868,0.3902644217014313,0.4161822199821472,4.999999873689376e-05,0.8330833315849304,0.6390027403831482,0.007008039858192205,0.047577351331710815,0.3762720227241516,0.9195811748504639
