epoch,accuracy,class2_precision,class2_recall,f1,learning_rate,loss,val_accuracy,val_class2_precision,val_class2_recall,val_f1,val_loss
0,0.4992641508579254,0.02734784223139286,0.16052275896072388,0.2788896858692169,9.999999747378752e-05,0.9214960932731628,0.5130679607391357,0.0017881683306768537,0.03152364119887352,0.22317175567150116,0.957240879535675
1,0.5098239183425903,0.038273487240076065,0.19316771626472473,0.3019675612449646,9.999999747378752e-05,0.911623477935791,0.25649702548980713,0.0014278711751103401,0.019556334242224693,0.22609210014343262,0.9557209014892578
2,0.5173017382621765,0.04798117280006409,0.2439824640750885,0.3185591697692871,9.999999747378752e-05,0.9007284641265869,0.19268637895584106,0.0016048501711338758,0.005253940355032682,0.2223024070262909,0.9534099102020264
3,0.5278337597846985,0.0419982448220253,0.2443133294582367,0.3285679519176483,9.999999747378752e-05,0.8999164700508118,0.23056994378566742,0.0,0.0,0.2137012779712677,0.9524036049842834
4,0.523007869720459,0.057010263204574585,0.34379222989082336,0.3529821038246155,9.999999747378752e-05,0.8825846314430237,0.2323431670665741,0.00036630037357099354,0.00029188557527959347,0.20243826508522034,0.9521183371543884
5,0.5262598395347595,0.060474518686532974,0.3547244071960449,0.35117650032043457,9.999999747378752e-05,0.8784016966819763,0.22987285256385803,0.0,0.0,0.18760058283805847,0.9520227313041687
6,0.5370942950248718,0.06583330035209656,0.37600982189178467,0.35664209723472595,9.999999747378752e-05,0.87324059009552,0.22319431602954865,0.0,0.0,0.1755705624818802,0.9520125985145569
7,0.5544248223304749,0.06926032155752182,0.3884308934211731,0.38969770073890686,9.999999747378752e-05,0.8618388772010803,0.223602294921875,0.0,0.0,0.16892865300178528,0.9523333311080933
8,0.5577430129051208,0.07763481140136719,0.39293888211250305,0.3778258264064789,9.999999747378752e-05,0.8581505417823792,0.2229437530040741,0.0,0.0,0.16582269966602325,0.9522558450698853
9,0.5758941173553467,0.0845874473452568,0.41222530603408813,0.38389480113983154,9.999999747378752e-05,0.8559896349906921,0.22344328463077545,0.0,0.0,0.16536664962768555,0.9520401954650879
10,0.5857986211776733,0.09426457434892654,0.40414679050445557,0.39881226420402527,9.999999747378752e-05,0.8436950445175171,0.22717446088790894,0.0,0.0,0.17027169466018677,0.9513506889343262
11,0.6039679050445557,0.10150609910488129,0.3779674172401428,0.4099864661693573,9.999999747378752e-05,0.8468623757362366,0.25520727038383484,0.0,0.0,0.1898604929447174,0.9487247467041016
12,0.6150780320167542,0.11622576415538788,0.3746725916862488,0.40140414237976074,9.999999747378752e-05,0.8388761281967163,0.4360399842262268,0.0,0.0,0.2633492052555084,0.938605785369873
13,0.6168127059936523,0.11373992264270782,0.3936695158481598,0.3878103792667389,9.999999747378752e-05,0.8396631479263306,0.45800459384918213,0.0,0.0,0.2712171971797943,0.9371476173400879
14,0.6253096461296082,0.12283199280500412,0.3865284323692322,0.40836820006370544,9.999999747378752e-05,0.8394724726676941,0.5961994528770447,0.0,0.0,0.34367692470550537,0.9246658682823181
15,0.6363779306411743,0.14927367866039276,0.38192394375801086,0.42692357301712036,9.999999747378752e-05,0.8151655793190002,0.6336107850074768,0.0,0.0,0.3723085820674896,0.9191327095031738
16,0.6423874497413635,0.13741059601306915,0.35356640815734863,0.43705031275749207,9.999999747378752e-05,0.8259159326553345,0.6426215171813965,0.0,0.0,0.37749767303466797,0.9182946085929871
